1	133	129	118	255	111	108	98	255	93	90	82	255	111	108	98	255
2	60	113	17	255	50	94	14	255	42	79	12	255	50	94	14	255
3	103	83	51	255	86	69	43	255	72	58	36	255	86	69	43	255
4	118	112	96	255	98	93	80	255	82	78	67	255	98	93	80	255
5	109	80	60	255	91	67	50	255	76	56	41	255	91	67	50	255
7	79	79	82	255	66	66	68	255	55	55	57	255	66	66	68	255
8	94	170	255	51	82	148	223	51	69	124	186	51	82	148	223	51
9	94	170	255	51	82	148	223	51	69	124	186	51	82	148	223	51
10	255	164	41	255	255	164	41	255	212	137	34	255	255	164	41	255
11	255	164	41	255	255	164	41	255	212	137	34	255	255	164	41	255
12	192	178	110	255	160	148	92	255	134	124	77	255	160	148	92	255
13	120	105	79	255	100	87	66	255	84	73	55	255	100	87	66	255
14	255	181	38	255	255	181	38	255	212	151	31	255	255	181	38	255
15	231	174	113	255	193	145	94	255	161	121	79	255	193	145	94	255
16	56	60	70	255	46	50	58	255	39	42	49	255	46	50	58	255
17	119	97	74	255	99	81	62	255	83	68	52	255	99	81	62	255
18	27	69	37	180	22	57	31	180	19	48	25	180	22	57	31	180
19	193	193	65	255	174	174	47	255	97	97	5	255	76	76	20	255
20	178	217	223	90	148	181	186	90	124	151	155	90	148	181	186	90
21	23	68	196	255	18	56	158	255	14	43	122	255	14	43	78	255
22	23	68	196	255	18	56	158	255	14	43	122	255	14	43	78	255
23	96	96	96	255	76	76	76	255	48	48	48	255	38	38	38	255
24	192	178	110	255	160	148	92	255	134	124	77	255	160	148	92	255
25	125	91	38	255	100	72	30	255	62	45	19	255	50	36	15	255
26	200	20	20	255	160	16	16	255	100	10	10	255	80	8	8	255
27	150	134	102	180	120	107	81	180	75	67	51	180	60	53	40	180
28	150	134	102	180	120	107	81	180	75	67	51	180	60	53	40	180
30	138	145	145	255	110	115	115	255	69	72	72	255	55	57	57	255
31	97	156	53	255	73	120	38	255	38	68	16	255	26	50	9	255
32	75	44	24	255	60	35	19	255	37	22	12	255	30	18	10	255
35	247	255	239	255	244	251	236	255	204	210	197	255	244	251	236	255
35:0	247	255	239	255	244	251	236	255	204	210	197	255	244	251	236	255
35:1	227	128	52	255	224	126	51	255	187	105	42	255	224	126	51	255
35:2	185	76	188	255	183	75	186	255	153	63	155	255	183	75	186	255
35:3	102	139	199	255	100	137	196	255	84	114	164	255	100	137	196	255
35:4	189	181	26	255	187	178	26	255	156	149	22	255	187	178	26	255
35:5	57	189	45	255	56	186	44	255	47	156	37	255	56	186	44	255
35:6	211	132	145	255	209	130	143	255	174	109	120	255	209	130	143	255
35:7	65	67	63	255	64	66	62	255	54	55	52	255	64	66	62	255
35:8	154	166	156	255	152	163	154	255	127	137	128	255	152	163	154	255
35:9	38	117	141	255	37	115	139	255	31	96	116	255	37	115	139	255
35:10	126	54	184	255	124	53	181	255	104	44	151	255	124	53	181	255
35:11	38	51	144	255	37	50	143	255	31	42	119	255	37	50	143	255
35:12	83	51	26	255	82	50	26	255	69	42	22	255	82	50	26	255
35:13	54	77	22	255	54	76	22	255	45	63	19	255	54	76	22	255
35:14	159	45	38	255	157	44	38	255	131	37	32	255	157	44	38	255
35:15	26	23	22	255	26	23	21	255	22	19	18	255	26	23	21	255
37	73	108	60	254	61	90	50	254	51	75	42	254	61	90	50	254
38	84	139	187	254	70	116	155	254	59	97	130	254	70	116	155	254
39	184	144	0	254	153	119	0	254	128	100	0	254	153	119	0	254
40	201	17	17	254	168	14	14	254	140	12	12	254	168	14	14	254
41	247	255	239	255	244	251	236	255	204	210	197	255	244	251	236	255
42	249	249	249	255	207	207	207	255	173	173	173	255	207	207	207	255
43	122	112	99	255	101	93	82	255	85	78	69	255	101	93	82	255
43:0	122	112	99	255	101	93	82	255	85	78	69	255	101	93	82	255
43:1	192	178	110	255	160	148	92	255	134	124	77	255	160	148	92	255
43:2	109	80	60	255	91	67	50	255	76	56	41	255	91	67	50	255
43:3	118	112	96	255	98	93	80	255	82	78	67	255	98	93	80	255
44	122	112	99	254	101	93	82	254	85	78	69	254	101	93	82	254
44:0	122	112	99	254	101	93	82	254	85	78	69	254	101	93	82	254
