Biome Mapping
[OCEAN]	0	0	112	255	0	0	112	255	0	0	112	255	0	0	112	255
[PLAINS]	141	179	96	255	141	179	96	255	141	179	96	255	141	179	96	255
[DESERT]	250	148	24	255	250	148	24	255	250	148	24	255	250	148	24	255
[EXTREME_HILLS]	96	96	96	255	96	96	96	255	96	96	96	255	96	96	96	255
[FOREST]	5	102	33	255	5	102	33	255	5	102	33	255	5	102	33	255
[TAIGA]	11	102	89	255	11	102	89	255	11	102	89	255	11	102	89	255
[SWAMPLAND]	7	249	178	255	7	249	178	255	7	249	178	255	7	249	178	255
[RIVER]	0	0	255	255	0	0	255	255	0	0	255	255	0	0	255	255
[HELL]	191	59	59	255	191	59	59	255	191	59	59	255	191	59	59	255
[SKY]	128	128	255	255	128	128	255	255	128	128	255	255	128	128	255	255
[FROZEN_OCEAN]	112	112	214	255	112	112	214	255	112	112	214	255	112	112	214	255
[FROZEN_RIVER]	160	160	255	255	160	160	255	255	160	160	255	255	160	160	255	255
[ICE_PLAINS]	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255
[ICE_MOUNTAINS]	160	160	160	255	160	160	160	255	160	160	160	255	160	160	160	255
[MUSHROOM_ISLAND]	255	0	255	255	255	0	255	255	255	0	255	255	255	0	255	255
[MUSHROOM_SHORE]	160	0	255	255	160	0	255	255	160	0	255	255	160	0	255	255
[BEACH]	250	222	85	255	250	222	85	255	250	222	85	255	250	222	85	255
[DESERT_HILLS]	210	95	18	255	210	95	18	255	210	95	18	255	210	95	18	255
[FOREST_HILLS]	34	85	28	255	34	85	28	255	34	85	28	255	34	85	28	255
[TAIGA_HILLS]	22	57	51	255	22	57	51	255	22	57	51	255	22	57	51	255
[SMALL_MOUNTAINS]	114	120	154	255	114	120	154	255	114	120	154	255	114	120	154	255
[JUNGLE]	83	123	9	255	83	123	9	255	83	123	9	255	83	123	9	255
[JUNGLE_HILLS]	44	66	5	255	44	66	5	255	44	66	5	255	44	66	5	255
[JUNGLE_EDGE]	98	139	23	255	98	139	23	255	98	139	23	255	98	139	23	255
[DEEP_OCEAN]	0	0	48	255	0	0	48	255	0	0	48	255	0	0	48	255
[STONE_BEACH]	162	162	132	255	162	162	132	255	162	162	132	255	162	162	132	255
[COLD_BEACH]	250	240	192	255	250	240	192	255	250	240	192	255	250	240	192	255
[BIRCH_FOREST]	48	116	68	255	48	116	68	255	48	116	68	255	48	116	68	255
[BIRCH_FOREST_HILLS]	31	95	50	255	31	95	50	255	31	95	50	255	31	95	50	255
[ROOFED_FOREST]	64	81	26	255	64	81	26	255	64	81	26	255	64	81	26	255
[COLD_TAIGA]	49	85	74	255	49	85	74	255	49	85	74	255	49	85	74	255
[COLD_TAIGA_HILLS]	36	63	54	255	36	63	54	255	36	63	54	255	36	63	54	255
[MEGA_TAIGA]	89	102	81	255	89	102	81	255	89	102	81	255	89	102	81	255
[MEGA_TAIGA_HILLS]	69	79	62	255	69	79	62	255	69	79	62	255	69	79	62	255
[EXTREME_HILLS_PLUS]	80	112	80	255	80	112	80	255	80	112	80	255	80	112	80	255
[SAVANNA]	189	178	95	255	189	178	95	255	189	178	95	255	189	178	95	255
[SAVANNA_PLATEAU]	167	157	100	255	167	157	100	255	167	157	100	255	167	157	100	255
[MESA]	217	69	21	255	217	69	21	255	217	69	21	255	217	69	21	255
[MESA_PLATEAU_FOREST]	176	151	101	255	176	151	101	255	176	151	101	255	176	151	101	255
[MESA_PLATEAU]	202	140	101	255	202	140	101	255	202	140	101	255	202	140	101	255
[SMALL_END_ISLANDS]	128	128	255	255	128	128	255	255	128	128	255	255	128	128	255	255
[END_MIDLANDS]	128	128	255	255	128	128	255	255	128	128	255	255	128	128	255	255
[END_HIGHLANDS]	128	128	255	255	128	128	255	255	128	128	255	255	128	128	255	255
[END_BARRENS]	128	128	255	255	128	128	255	255	128	128	255	255	128	128	255	255
[WARM_OCEAN]	0	0	172	255	0	0	172	255	0	0	172	255	0	0	172	255
